field_id,title,field_house,field_card_type,field_front_image,field_card_text,field_traits,field_amber,field_power,field_armor,field_rarity,field_flavor_text,field_card_number,field_expansion,field_is_maverick
1a84631d-7fcb-4c9a-a50c-9539dcb84928,Yxilo Bolter,Mars,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_204_H9HQ5F59FJQX_en.png,"Fight/Reap: Deal 2<D> to a creature. If this damage destroys that creature, purge it.",Martian • Soldier,0,3,0,Common,,204,341,False
b8343462-b5d7-48b0-9e3b-f020c5e73c55,Tocsin,Dis,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_102_CG7PMM7PJ3G6_en.png,Reap: Your opponent discards a random card from their hand.,Demon,0,3,0,Common,,102,341,False
c08c91f0-043a-4a8a-8761-6080e9f46183,Titan Mechanic,Logos,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_154_M7WH2HV6J2FX_en.png,"While Titan Mechanic is on a flank, each key costs –1<A>.",Cyborg • Scientist,0,6,0,Common,"If they come, they will build it. ",154,341,False
ce051448-1745-4606-95a0-e44e70401ba1,Foggify,Logos,Action,https://cdn.keyforgegame.com/media/card_front/en/341_110_4W42XPXRVP7V_en.png,Play: Your opponent cannot use creatures to fight on their next turn.,,1,0,0,Common,,110,341,False
aabeebf7-1da5-4149-afab-e7e221b47d93,Uxlyx the Zookeeper,Mars,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_201_69W23Q88QWW4_en.png,"Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Reap: Put an enemy creature into your archives. If that creature leaves your archives, it is put into its owner’s hand instead.",Martian • Scientist,0,2,0,Uncommon,,201,341,False
699f06e3-e47b-4910-90b9-c67fac157d6e,Dance of Doom,Dis,Action,https://cdn.keyforgegame.com/media/card_front/en/341_57_QR3X35J5GWCR_en.png,Play: Choose a number. Destroy each creature with power equal to that number.,,0,0,0,Rare,,57,341,False
6bf5d9fa-1fbb-4609-8671-986a4709d3aa,Lifeward,Dis,Artifact,https://cdn.keyforgegame.com/media/card_front/en/341_77_46M5PVW2VRX9_en.png,Omni: Sacrifice Lifeward. Your opponent cannot play creatures on their next turn.,Power,1,0,0,Uncommon,,77,341,False
5aba3999-2489-4073-92be-cc0ec93ee65f,Lady Maxena,Sanctum,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_251_P4MXH8G4VPX4_en.png,Play: Stun a creature. Action: Return Lady Maxena to its owner’s hand.,Knight • Spirit,0,5,2,Uncommon,,251,341,False
afe27535-5cb7-43a1-8eab-ff9a6a472edb,Vigor,Untamed,Action,https://cdn.keyforgegame.com/media/card_front/en/341_338_CR6PV8PPC85R_en.png,"Play: Heal up to 3 damage from a creature. If you healed 3 damage, gain 1<A>.",,1,0,0,Common,,338,341,False
c39567bb-4695-4518-8b8d-8ac882894d1e,Round Table,Sanctum,Artifact,https://cdn.keyforgegame.com/media/card_front/en/341_235_MJMGJPH3545P_en.png,Each friendly Knight creature gets +1 power and gains taunt.,Location,1,0,0,Rare,"“Come my friends, let us ready for battle.” –King Godfrey Greywind",235,341,False
2f9f20aa-b110-4df8-8f4e-560a11f0ae49,Novu Archaeologist,Logos,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_147_X27M5CQW494F_en.png,Action: Archive a card from your discard pile.,Cyborg • Scientist,0,4,0,Uncommon,"“One civilization’s trash is... nope, still trash.”",147,341,False
a8b24d43-1940-4852-afcb-d034d99da55d,Protect the Weak,Sanctum,Upgrade,https://cdn.keyforgegame.com/media/card_front/en/341_265_36392V5F286G_en.png,This creature gets +1 armor and gains taunt. (This creature’s neighbors cannot be attacked unless they have taunt.),,1,0,0,Common,,265,341,False
5607fecd-b90e-4e12-84bc-cb36d079117c,Hysteria,Dis,Action,https://cdn.keyforgegame.com/media/card_front/en/341_65_HX7W9345R87F_en.png,Play: Return each creature to its owner’s hand.,,0,0,0,Uncommon,“Help! I can’t stop this feeling!”,65,341,False
3056e60c-8f7c-40da-951c-6e0e9cfb9d46,Inspiration,Sanctum,Action,https://cdn.keyforgegame.com/media/card_front/en/341_220_J4PRQX77RXV8_en.png,Play: Ready and use a friendly creature.,,0,0,0,Common,“The Sanctum gives meaning to my life.” - Duma the Martyr,220,341,False
459a6725-dcc0-4967-8cd4-a9bbb1548eda,Lost in the Woods,Untamed,Action,https://cdn.keyforgegame.com/media/card_front/en/341_327_W6VV383R4X8P_en.png,Play: Choose 2 friendly creatures and 2 enemy creatures. Shuffle each chosen creature into its owner’s deck.,,1,0,0,Common,,327,341,False
f0c4cb0f-8e5f-454c-a6ad-35f35ac3c98a,Dew Faerie,Untamed,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_350_6X8HWG4MJPCC_en.png,"Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Reap: Gain 1<A>.",Faerie,0,2,0,Common,,350,341,False
aa9b8dfe-3817-4f9d-b4c8-95c5c303c513,Effervescent Principle,Logos,Action,https://cdn.keyforgegame.com/media/card_front/en/341_109_9382CVHW3F7H_en.png,Play: Each player loses half their <A> (rounding down the loss). Gain 1 chain.,,0,0,0,Common,,109,341,False
19b74b4e-bec8-4fbb-bd35-cb635f500249,Soft Landing,Mars,Action,https://cdn.keyforgegame.com/media/card_front/en/341_177_F3R3FCFQQQG8_en.png,Play: The next creature or artifact you play this turn enters play ready.,,0,0,0,Common,Any landing you walk away from…,177,341,False
b97236a0-5a0e-437b-b3be-d13834c0dc2d,Tireless Crocag,Brobnar,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_47_QHVVFWHGJM8R_en.png,"Tireless Crocag cannot reap.You may use Tireless Crocag as if it belonged to the active house.If your opponent has no creatures in play, destroy Tireless Crocag.",Giant,0,7,0,Rare,,47,341,False
d42dd1d0-3462-410f-b683-dd0768b84188,Hand of Dis,Dis,Action,https://cdn.keyforgegame.com/media/card_front/en/341_62_8WF3JF84X9VM_en.png,Play: Destroy a creature that is not on a flank.,,0,0,0,Common,“Let me give you a hand...”,62,341,False
f75dda7d-680c-4bd5-8813-d04646857753,Red Planet Ray Gun,Mars,Upgrade,https://cdn.keyforgegame.com/media/card_front/en/341_211_PQFJWQ3VVVGJ_en.png,"This creature gains, “Reap: Choose a creature. Deal 1<D> to that creature for each Mars creature in play.”",,1,0,0,Uncommon,,211,341,False
64f0e039-dd33-49f0-8e9c-42ec38aba8a1,Skeleton Key,Shadows,Artifact,https://cdn.keyforgegame.com/media/card_front/en/341_291_7FCVJGVJQF96_en.png,Action: A friendly creature captures 1<A>.,Item,0,0,0,Uncommon,Skeleton sold separately. ,291,341,False
57bccc52-b6a1-4d11-b9d9-6356d8ac279c,Mother,Logos,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_145_65HF32HQGF2G_en.png,"During your “draw cards” step, refill your hand to 1 additional card.",Robot • Scientist,0,5,0,Common,"“Of course she’s necessary, she’s the mother of all invention!”",145,341,False
59cb3ad9-cc98-4fe5-8589-a8967d32af00,Library of Babble,Logos,Artifact,https://cdn.keyforgegame.com/media/card_front/en/341_129_WR7JW9MF9F2R_en.png,Action: Draw a card.,Location,0,0,0,Common,"When you make an archive of all knowledge in the galaxy, don’t be surprised when you understand almost none of it. ",129,341,False
1d17903e-5c7a-4882-833f-707ce03d1228,Curiosity,Untamed,Action,https://cdn.keyforgegame.com/media/card_front/en/341_320_Q6Q7VG34P9GF_en.png,Play: Destroy each Scientist creature.,,1,0,0,Rare,“It started with Schrödinger’s cat and just kept going from there.” – Quixo the “Adventurer”,320,341,False
0186f94c-68df-4d5c-9338-9e918affe313,Bait and Switch,Shadows,Action,https://cdn.keyforgegame.com/media/card_front/en/341_267_VHQ67J5MWQV5_en.png,"Play: If your opponent has more <A> than you, steal 1<A>. Repeat this card's effect if your opponent still has more <A> than you.",,0,0,0,Common,“Heckuva deal.” – Old Bruno,267,341,False
05fa104f-3719-41d0-9189-57ff3ec5edc1,Witch of the Eye,Untamed,Creature,https://cdn.keyforgegame.com/media/card_front/en/341_368_MC5PG9FQ3766_en.png,Reap: Return a card from your discard pile to your hand.,Human • Witch,0,3,0,Common,"“Waste not, want not.”",368,341,False
16168a85-bbfa-4e54-8c84-5ea02e2a7da1,Mating Season,Mars,Action,https://cdn.keyforgegame.com/media/card_front/en/341_170_6C5MPJVJ5G9R_en.png,Play: Shuffle each Mars creature into its owner’s deck. Each player gains 1<A> for each creature shuffled into their deck this way.,,1,0,0,Rare,,170,341,False
20c810de-ad56-49ad-a57c-7fe7262b3cda,Nepenthe Seed,Untamed,Artifact,https://cdn.keyforgegame.com/media/card_front/en/341_341_M3P5Q4RWG42_en.png,Omni: Sacrifice Nepenthe Seed. Return a card from your discard pile to your hand.,Item,0,0,0,Uncommon,,341,341,False
